Problem Size,Sim Anneal
0,0
20,2100.821
40,4072.3347
60,6675.2363
80,9762.567
100,13093.232
120,16621.205
140,20406.428
160,24501.252
180,28363.97
200,32851.49
220,37091.668
240,41629.086
260,45822.926
280,50023.95
300,55069.535
320,59483.33
340,63992.56
360,68939.13
380,73635.58
400,78321.15
420,83239.8
440,88037.88
460,92624.45
480,97315.2
500,102604.32
520,107540.82
540,112096.46
560,117082.03
580,122272.21
600,126784.6
620,132415.23
640,136833.45
660,141667.66
680,146739.88
700,151878.02
720,156847.88
740,161479.7
760,166652.88
780,172115.55
800,177022.22
820,182412.2
840,187282.5
860,192374.28
880,197575.84
900,202542.94
920,207579.52
940,212392
960,218094.78
980,223026.81
1000,227957.14